territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Colombia,USER_8058cf8d3e,Mi nivel de toxicidad es tan alto que incluso acabo con mis propios seres amados,Autocrítica,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_8058cf8d3e,"Porque putas termino llorando siempre que le digo a mi novio todo lo que siento por él???
Mk que fastidio
#quemameramarica",Frustración emocional,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_8058cf8d3e,"Odio ser tan sentimental!!!!!!
Siempre termino llorando por lo que sea!
Si amo, lloro
Si odio, lloro
Si no siento nada, lloro
Que mamera!!!",Frustración personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_8058cf8d3e,Y yo te elijo a ti {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_8058cf8d3e,Y esto lo resume todo {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_8058cf8d3e,Razón #784 para no tener hijos {{URL}},Opinión sobre la paternidad,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_8058cf8d3e,#NuevaFotoDePerfil {{URL}},Redes sociales,MEDIOS,"Medios, redes sociales y comunicación digital"
Colombia,USER_8058cf8d3e,"Estoy más que segura que la falta de sexo es lo que me tiene tan enferma 

Pd: amor si lees esto, por favor ven a mi {{URL}}",Vida íntima,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_8058cf8d3e,"Soy fea, soy gorda, soy perra, soy todo lo que quieran, pero soy quien mas te ama",Autoimagen y afecto,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_8058cf8d3e,La historia de mi vida {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_8058cf8d3e,Tener esas ganas de salir corriendo como loca en busca de ud,Deseo amoroso,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_8058cf8d3e,"Sabes que ya va liste verga, cuando te das cuenta que hasta tu novio te dice ""gorda""",Queja en la relación,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_8058cf8d3e,"Esto de comenzar el día amargada es duro, por que no sabes si quieres matar a alguien o solo aislarte del mundo para que te jodan",Malestar emocional,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_8058cf8d3e,"{{USER_MENTION}} el único reconocimiento que hizo la universidad por las victimas, fue una placa muy pequeña que fue colocada detrás de una puerta",Crítica universitaria,EDU,Educación y formación
Colombia,USER_8058cf8d3e,"#TragediaEvitable soy egresada y el decano del que hablan, lo echaron como perro después del accidente
El tipo desaparece después de eso!!!!",Crítica universitaria y consecuencias,EDU,Educación y formación
Colombia,USER_8058cf8d3e,#TragediaEvitable soy egresada y conocí a todos ellos. La universidad ni siquiera quería rendir les tributo. Que paguen por todo!!!,Exigencia de justicia,POL,"Política, instituciones y actualidad pública"
Colombia,USER_8058cf8d3e,Me duele saber que existe alguien que me ama tal cual soy y viva a kilómetros de mi #noesjusto,Amor a distancia,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_8058cf8d3e,"{{LOCATION}} irrespeto! Estoy muriendo en mocos y mi novio me dice esto! 
#ihateyou #crazylove {{URL}}",Dinámica de pareja,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_8058cf8d3e,"Ese sentimiento de no saber si lloras por que tu novio se fue o celebrar por que tu amada sobrina va llegando
He ahí el dilema 😕😕😕",Dilema emocional,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_8058cf8d3e,#NuevaFotoDePerfil tengo cara de c... y que! {{URL}},Autoafirmación en redes,MEDIOS,"Medios, redes sociales y comunicación digital"
Colombia,USER_5b4dbc742d,"Quiero que estos sueños ya no solo sean esto, quiero que te conviertas mi realidad 🌀",Deseo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,Que tortura la gente egocéntrica !!!,Queja,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,No sé ustedes pero creo firmemente en los sueños 😍,Creencia,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,Hace un año aún caminaba de tu mano,Nostalgia,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,Tu desinterés es lo más cruel,Queja de relación,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_5b4dbc742d,"A veces quisiera gritarte todo lo que siento, pero sé que es una mala idea",Emociones,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,En ocasiones debemos hacer sacrificios enormes para alcanzar eso que tanto anhelamos,Metas y esfuerzos,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,No es necesario ser la persona más sabia para distinguir entre aquellos que valen la pena conservar en tu vida y los que sencillamente merecen no volver a estarlo,Relaciones personales,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_5b4dbc742d,Sana tu corazón alejándote de personas que nunca te hicieron bien,Autocuidado,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Colombia,USER_5b4dbc742d,Todo en esta vida son ciclos; y los ciclos hay que aprender a cerrarlos,Reflexión vital,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,Eres y siempre serás un completo desastre,Crítica,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,Mentirosos hay por todos lados,Desilusión social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_5b4dbc742d,Es decepcionante ver como cambian las personas o quizá nunca se mostraron como eran. Una vez más lo creyó y volvió a caer,Desilusión,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,{{LOCATION}} es amor puro. Te dedicaría muchas pero ni me hablas 🤨,Anhelo romántico,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_5b4dbc742d,Me llevo tu recuerdo a todos lados,Recuerdo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,Curioso dato {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_5b4dbc742d,"Nadie es más que otro, mucho menos por estereotipos tan vanos",Crítica social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_5b4dbc742d,¿Y qué importa lo que digan?,Autoafirmación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,Y pensar que todo en lo que creí sólo fueron mentiras disfrazadas de falsos sentimientos,Traición,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_5b4dbc742d,Creí en ti,Desilusión,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_5b4dbc742d,"Viernes para estar bajo las cobijas, comida y mi serie favorita 😻",Ocio,OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_dc9d118274,"La seguridad de hoy,es lo mas inseguro mañana,todo es relativo y cambiante,hoy estas arriba,mañana abajo.",Reflexión existencial,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_dc9d118274,"Siempre te recordare en mi vida como el fracaso que nunca quise tener,como la batalla que nunca quise perder ,como la persona que se va al mas allá  y nunca se puede volver a ver.",Duelo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_dc9d118274,Donde esta mí maldito hamster  ?  me quede esperándolo :c  &lt;/3,Mascotas,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_dc9d118274,"lo siento, me gusta alguien cada tres años...",Amor y relaciones,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_dc9d118274,Si vas a volver que sea para quedarte. &lt;3,Relaciones amorosas,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_dc9d118274,Mi amor no te interesa y es mejor que por fin reconozcas lo que soy y me aleje de ti.,Desamor,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_dc9d118274,"Ya se me salio el ego,el egoismo.",Auto-reflexión,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_dc9d118274,"""Es de parte y parte,si tú no pones de la tuya no podra complementarse.""",Reciprocidad,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_dc9d118274,Mago de oz - El fin del camino.,Música,OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_dc9d118274,"{{PERSON}} a escuchar tus labios a leer el sooool,llévame a donde los sueños fabrican tú voz.♫",Letras de canciones,OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_dc9d118274,{{LOCATION}} {{LOCATION}}.,Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_dc9d118274,Lo único queme queda por ofrecerte es mi ausencia.,Despedida,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_dc9d118274,"Te marchas y qué, yo no intento discutírtelo lo sabes y lo sé.♫ ♪",Aceptación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_dc9d118274,Finger Eleven - Paralyzer.,Música,OCIO,"Cultura, ocio y entretenimiento"
Colombia,USER_dc9d118274,"""Yo sé de antemano que en mis brazos encontraras eso llamado felicidad.""",Declaración de amor,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_dc9d118274,"Mientras usted me gusta,usted extraña a otro por eso es que uno es mierda en la vida. Jajaja",Desamor,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_dc9d118274,"""De una vez pongo las cartas sobre la mesa,tú escoges,te retiras o continua el juego.""",Ultimátum,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_dc9d118274,Lo bueno es que no hablamos mucho de mí.,Auto-percepción,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_dc9d118274,Han sido unos días raros desde que te conocí pero estoy agusto con tú llegada.,Nuevos comienzos,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_dc9d118274,"""Me tenias a tús pies  y me hiciste levantarme he irme.""",Empoderamiento personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_dc9d118274,"""Se veía  hermosa cómo nunca,cómo siempre.""",Admiración,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_d4a6ec3e24,RT {{USER_MENTION}}: Women will literally say 'idk maybe I'm just crazy' right before accurately predicting a sequence of events with 100% psych…,Observación social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_d4a6ec3e24,lo bueno de estar traumada y de no esperar absolutamente nunca nada bueno sobre nada es que realmente nada me afecta TANTO como podría hacerlo si ese escenario ya no me lo hubiese imaginado 426 veces en mi cabeza,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_d4a6ec3e24,RT {{USER_MENTION}}: {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_d4a6ec3e24,mañana empiezo el gimnasio {{URL}},Actividad física,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Colombia,USER_d4a6ec3e24,RT {{USER_MENTION}}: how it feels makin room for someone in the movie theater so they can get to their seat {{URL}},Humor cotidiano,HUMOR,"Humor, memes y contenido lúdico"
Colombia,USER_d4a6ec3e24,RT {{USER_MENTION}}: estos tuits siempre son graciosos porque en las respuestas ves la verdadera naturaleza de un hombre petiso: ser femicida,Crítica social,POL,"Política, instituciones y actualidad pública"
Colombia,USER_d4a6ec3e24,Yoooooooooo,Contenido no interpretable,NOINT,Contenido no interpretable
Colombia,USER_d4a6ec3e24,yo pariendo a {{PERSON}} hace 3 años viendo cómo ahora también tengo que vivir sabiendo que el presidente de mi país va a ser {{LOCATION}} {{URL}},Política,POL,"Política, instituciones y actualidad pública"
Colombia,USER_d4a6ec3e24,a veces no queda de otra que hacerse un poquito la estúpida {{URL}},Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Colombia,USER_d4a6ec3e24,no hablarle nunca más,Relaciones interpersonales,REL,"Relaciones personales, afectivas y vida social"
Colombia,USER_d4a6ec3e24,uno piensa que pudo escapar de los chismes y los problemas de adolescentes cuando termina el colegio pero resulta que trabajar en una oficina es LO MISMO sólo que ahora tenemos 30 años y problemas en las rodillas {{URL}},Vida laboral,ECO,"Economía, empleo y vivienda"
Colombia,USER_d4a6ec3e24,cancelada la temporada de 𝓹𝓪𝓷𝓽𝓪𝓵𝓸𝓷𝓮𝓼 𝓬𝓪𝓵𝓮𝓷𝓽𝓲𝓽𝓸𝓼 porque de vuelta está haciendo 30 grados a las once de la noche,Clima y vestimenta,VIDA,"Rutinas, experiencias cotidianas y estados personales"
