territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Gallego,USER_d8809ba569,adivinad quien volaba anoche a {{LOCATION}} a un aeropuerto submarino.,Viajes,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,"Pues primer congreso fuera de {{LOCATION}} superadísimo y genial.

(aunque necesitaré tres días más para recuperarme). {{URL}}",Eventos profesionales,ECO,"Economía, empleo y vivienda"
Gallego,USER_d8809ba569,"Me acabo de enamorar en el {{LOCATION}}. 

Feliz {{NUMBER}}.",Amor y relaciones,REL,"Relaciones personales, afectivas y vida social"
Gallego,USER_d8809ba569,de mí para mí: abandona cuanto antes esta rampa de sinceridad emocional catastrófica porque va a salir mal.,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,Esta semana he reconectado con una parte de mí que he odiado y querido a partes iguales: la intensidad con la que vivo los vínculos con las personas.,Autoconocimiento,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,no sé como resumiros este último mes pero desde luego me atrevo a decir que comienzo a sentir cosas de nuevo y no todo es {{LOCATION}}.,Cambio emocional,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,"llevo una semana atrapada en el

-guardar borrador-",Procrastinación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,"se me acaba de parar el coraçao, mamita.",Reacción de sorpresa,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,busco probablemente empezar de cero y poco más.,Nuevos comienzos,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,"{{PERSON}} cuenta de que gran parte de tu vida últimamente se resume a vivir en un edificio llamado hospital porque momentos como pasear al sol, el aire fresco de las ocho de la tarde o recordar la frase de un libro y no cualquier enfermedad son poco habituales.",Estancia hospitalaria,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Gallego,USER_d8809ba569,{{PERSON}} hasta las ocho. {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_d8809ba569,sueño con ser la tía que algún día se haga una manga y el resto la mire regular cuando se lave en quirófano.,Aspiraciones personales,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,Mi mejor amiga viene a {{LOCATION}} a pasar carnavales y se ha encargado ella de los disfraces. Aún no sé de qué voy disfrazada solo pido que recéis por mi por lo que pueda pasar.,Planes con amigos,REL,"Relaciones personales, afectivas y vida social"
Gallego,USER_d8809ba569,"Elegir especialidad buscando calidad de vida, y por qué no, querer ser « feliz » es probablemente la razón más sincera que he podido leer en años.",Carrera profesional,ECO,"Economía, empleo y vivienda"
Gallego,USER_d8809ba569,aquí alguien que podría acostumbrarse a que le paguen un hotelito. {{URL}},Beneficios laborales,ECO,"Economía, empleo y vivienda"
Gallego,USER_d8809ba569,"Llevo enamorada siete años de este señor pero es que en the last of us me va a explotar el cora entero.

(y lo que no es el cora) {{URL}}",Fandom,OCIO,"Cultura, ocio y entretenimiento"
Gallego,USER_d8809ba569,¿y esta obra de arte? {{URL}},Apreciación artística,OCIO,"Cultura, ocio y entretenimiento"
Gallego,USER_d8809ba569,Un día eres joven y al otro te despiertas un sábado leyendo reviews sobre aspiradoras.,Humor sobre la edad,HUMOR,"Humor, memes y contenido lúdico"
Gallego,USER_d8809ba569,"En esta crisis vital última por la que atravieso me da por mirar alrededor y veo a gente siendo propietaria con mi edad, casándose, viviendo en pareja, teniendo hijos o adoptando animales en común.

¿En qué momento ha pasado esto? ¿Nadie más en shock?",Crisis vital,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Gallego,USER_d8809ba569,que actualmente implica todo en mi vida.,Contenido no interpretable,NOINT,Contenido no interpretable
Gallego,USER_d8809ba569,nunca rosas por dios bendito.,Preferencias personales,VIDA,"Rutinas, experiencias cotidianas y estados personales"
