territorio,usuario,tweet
Argentina,USER_33daf89b57,"Instagram podría distorsionar la percepción del propio cuerpo y de las otras personas. 
El uso prolongado de Instagram y la exposición a contenido idealizado centrado en la apariencia, pueden difuminar el límite perceptivo entre el yo y los demás, un proceso fundamental para la identidad corporal.  

desde {{USER_MENTION}} y de {{USER_MENTION}}
Blurring the boundaries of the self: Instagram's impact on bodily identity and multisensory experience among young adults Computers in Human Behavior 
Date: October {{NUMBER}}
{{URL}}"
Argentina,USER_33daf89b57,"La malaria, una enfermedad parasitaria causada por un protozoo intracelular del género {{LOCATION}}, sigue siendo una de las principales causas de sepsis y muerte en todo el mundo.
Enfoque al desarrollo de las vacunas candidatas para prevenir la malaria.

de {{USER_MENTION}} 
{{URL}}"
Argentina,USER_33daf89b57,"""If environmental stress can indeed affect disease risk from gene variants, it would complicate efforts to estimate such risk from genetic analysis alone. 
What’s more, the clinical implications of a mutation are also muddied by complex interactions with other genes, making it even harder to establish how much a given variant impacts someone’s risk of disease — its ‘penetrance’.""

{{USER_MENTION}} 
{{URL}}"
Argentina,USER_33daf89b57,"Tomar suplementos de omega-3 no mejora la memoria ni el aspecto cognitivo.
El deporte, la dieta sana y el adecuado tratamiento y manejo del estrés si influyen a generar mejoras o prevenir problemas.

University of Southern California’s Keck School of Medicine in Los Angeles.

desde {{USER_MENTION}} 
{{URL}}"
Argentina,USER_33daf89b57,"RT {{USER_MENTION}}: Enfoque a la prevención del #autismo, la detección precoz para disminuir la severidad.

Effect of Preemptive Intervention…"
Argentina,USER_33daf89b57,"""Los humanos pueden transmitir información nueva y altamente diversa y enseñar a través del lenguaje.""  

En la fracción de segundo previa a que una persona hable, el cerebro construye una gramática compleja, un vocabulario preciso y un significado.
Se diseñan las oraciones antes de que se pronuncie una sola palabra.
Hay neuronas específicas identificadas en estas funciones.
{{USER_MENTION}} 
{{URL}}"
Argentina,USER_33daf89b57,"#cannabis 

La legalización de marihuana comercializada se asoció con un aumento en los ingresos hospitalarios por psicosis y por trastornos psicóticos comórbidos con el trastorno por consumo de cannabis. 

El acceso legal al cannabis medicinal, mal regulado y en ausencia de datos sobre su eficacia y seguridad, podría aumentar el riesgo de daños. 
\
{{USER_MENTION}} 
{{URL}}"
Argentina,USER_33daf89b57,"Quienes tienen una buen autoestima se sienten bien consigo mismos.
Esto también se refleja en la capacidad para comunicarse con los demás, para compartir y empatizar.
Es de enorme importancia promover a la autoestima en nuestros niños.

de {{USER_MENTION}}"
Argentina,USER_33daf89b57,"Las quemaduras constituyen una de las principales causas de lesiones traumáticas en la infancia, situándose como la cuarta causa de trauma infantil a nivel mundial tras los accidentes de tráfico, las caídas y las agresiones.

de {{USER_MENTION}} 
{{URL}}"
Argentina,USER_33daf89b57,"“Niebla mental” es un término para una variedad de síntomas que implican deterioro cognitivo. 
Afecta la capacidad para pensar con claridad, concentrarse, enfocar, recordar y prestar atención. 

La niebla mental puede ocurrir después de una enfermedad o un efecto secundario de un medicamento (como la quimioterapia) o como un síntoma de una condición subyacente actual o inminente.
de {{USER_MENTION}}"
