territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: good things look good on grateful people.,Positividad,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_698f0f2445,"Great track from a classic album! #rnb #ilovemusic {{USER_MENTION}}

{{URL}}",Música,OCIO,"Cultura, ocio y entretenimiento"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: No I will absolutely not shut up about being a survivor of the grooming gangs around the UK.

We aren’t just a statistic,…",Activismo social,SERV,"Servicios públicos, administración y derechos sociales"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: you can tell a lot about a person by what they chose to see in you.,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: {{PERSON}} is a hero. 

She jumped into that crocodile enclosure and saved that child. {{URL}}",Acciones heroicas,OTROS,Otros temas o contenido ambiguo
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: I hope one day each line on my face, each grey in my hair, the curves of my hips, scars in my heart, will tell the story of…",Reflexión vital,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: be yourself for yourself by yourself,Autoafirmación,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: i want to be so disgustingly well read. i want to be sitting at tables and speaking of books with names that roll off yo…,Aspiración intelectual,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: Right! Let's see if this attempt falls upon deaf ears again. I won't be silenced &amp; i won't stop .. {{URL}},Determinación personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_698f0f2445,"Great song! Old school vibes from {{NUMBER}}!
{{USER_MENTION}} 
#rnb #ilovemusic 
{{URL}}",Música,OCIO,"Cultura, ocio y entretenimiento"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: {{USER_MENTION}} 🙏❤️,Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: {{USER_MENTION}} As a survivor as well, I'm sending you the biggest hug. It's awesome that you're on this path. God bles…",Solidaridad,REL,"Relaciones personales, afectivas y vida social"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: What do you think this means? It's taken from my third and final #poetry collection available in paperback, ebook and au…",Poesía y literatura,OCIO,"Cultura, ocio y entretenimiento"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: If you are a writer, this is it…
Write. Read. Edit. Get feedback. Submit. {{LOCATION}}. {{LOCATION}}. {{LOCATION}}. 
Read more than you write. {{LOCATION}}…",Consejos de escritura,EDU,Educación y formación
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: Sketchbook page. Ink and color with markers #art #drawing #dailyart #sketch #freehandsketch {{URL}},Arte visual,OCIO,"Cultura, ocio y entretenimiento"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: Ain’t no days off when you depend on YOU.,Auto-dependencia,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_698f0f2445,"These were my top selling artworks last month. Postage is included in the price.  I describe my art style as dark pop art with a {{PERSON}}. 
You can browse more of my designs here {{URL}}

#art #artistoftwitter #mentalhealth {{URL}}",Venta de arte,ECO,"Economía, empleo y vivienda"
Catalán,USER_698f0f2445,"What do you think this means? It's taken from my third and final #poetry collection available in paperback, ebook and audiobook here {{URL}} 

#poetrytwitter #poetrylovers {{URL}}",Poesía y literatura,OCIO,"Cultura, ocio y entretenimiento"
Catalán,USER_698f0f2445,"""My beginning and the ending as the world is spinning
Ménages with strange women
The Devil grinning""
Big up {{USER_MENTION}}  #hiphop 
{{URL}}",Música,OCIO,"Cultura, ocio y entretenimiento"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: From abuse survivor to self employed thriver, my poetry and artwork books form a powerful trilogy. Try them today for sh…",Emprendimiento creativo,ECO,"Economía, empleo y vivienda"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: No matter what you’re going through, there’s always something to be grateful for.",Positividad,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: Some of the most talented people aren’t famous.
They’re creating in bedrooms. Writing in journals. Healing in silence.
And…",Reconocimiento del talento,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: ☁️⛅️🔷 
....today’s Cloud, the Sky Opened Up°!° {{URL}}",Naturaleza y clima,OTROS,Otros temas o contenido ambiguo
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: #{{LOCATION}} {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,RT {{USER_MENTION}}: ¿Cuántas veces puedes perderte antes de que ya no puedas encontrarte?,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: {{LOCATION}} es ser.
Ser es hacer.
Pues hoy me he levantado revolera, contestataria e insumisa. Que no me da la gana de hacer…",Actitud desafiante,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: “..for you, it’s the core. The place of comfort, clarity, and strength that doesn’t bend to fit easier narratives.”",Fortaleza interior,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: A veces no pesa el lunes, 
pesa todo lo que aún no
hemos soltado.

Buenos días! ☕️ {{URL}}",Reflexión sobre el ánimo,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Catalán,USER_e60b4176ea,⚡😶 {{URL}},Contenido no interpretable,NOINT,Contenido no interpretable
Catalán,USER_e60b4176ea,"RT {{USER_MENTION}}: {{LOCATION}} que donde manda corazón...no manda cabeza.
Ay, esos corazones suicidas 😜",Emociones y razón,VIDA,"Rutinas, experiencias cotidianas y estados personales"
