territorio,usuario,tweet,microtema
Perú,USER_3a747bb673,Te extraño eras la única a la que le contaba todo onda literal todoo,Extrañar a alguien
Perú,USER_3a747bb673,Aún te tengo fijada,Extrañar a alguien
Perú,USER_3a747bb673,Red monkeys in my dreams,Sueños
Perú,USER_3a747bb673,"No sé peroo...
Siento q el álbum va a salir el 4 de julio
Ojalá
Si no quedaré como tonta",Anticipación musical
Perú,USER_3a747bb673,I dont feel the same,Sentimientos personales
Perú,USER_3a747bb673,Solo kiero que sea 2 de julio para escuchar roger todo el díaaaa,Anticipación musical
Perú,USER_3a747bb673,RT {{USER_MENTION}}: amo lo que fuimos pero jamás amaré en lo que nos convertimos,Relación pasada
Perú,USER_3a747bb673,"Yo sé que me extrañas yo lo séee
En lo más profundo de tu corazón pero me extrañas yo lo puedo sentir",Extrañar a alguien
Perú,USER_3a747bb673,"RT {{USER_MENTION}}: Te quiero abrazar, te extraño tanto",Extrañar a alguien
Perú,USER_3a747bb673,"Que difícil es elegir una canción para desear un feliz cumple
Tenia una que era {{PERSON}} y me la robaron... bueno lol",Música para celebración
Perú,USER_3a747bb673,Extraño cuando teniamos yope y nos mandabamos fotos dms {{PERSON}},Extrañar a alguien
Perú,USER_3a747bb673,"No puedo esperar hasta el 4 de julio para escuchar roger
{{USER_MENTION}} ya saca el álbummm",Anticipación musical
Perú,USER_3a747bb673,RT {{USER_MENTION}}: {{LOCATION}} huir de aquí,Deseo de huir
Perú,USER_3a747bb673,Enseñame a bailar tan bien como tú..,Baile
Perú,USER_3a747bb673,Es que es tan romántico dar tu vida por un amor,Ideal romántico
Perú,USER_3a747bb673,Quiero volver a cuando escuchamos tu playlist y te dije q me encantaban tus audifonos de {{PERSON}},Nostalgia musical
Perú,USER_3a747bb673,{{URL}},Contenido no interpretable
Perú,USER_3a747bb673,"Podemos hablar de lo difícil que es vivir dps de tener el concierto de tu vida
Onda siempre me siento triste cuando recuerdo lo heavy que fue
No super el 14 de diciembre
#akrivuelve",Nostalgia por concierto
Perú,USER_3a747bb673,Estoy mega enamorada de clairo,Admiración musical
Perú,USER_3a747bb673,Stay forever,Sentimientos personales
Perú,USER_3a747bb673,"Literal la pareja más hot es
M8nse &amp; {{PERSON}} ambas, son tan iconic",Admiración por celebridad
Perú,USER_a968ce5a41,"Día, hoy sí pareces junio, con tu mañana fría, la garúa menuda que acaricia mi rostro, las tramposas calles mojadas y esa suerte de tristeza que piensa y te alegra la vida.",Reflexión meteorológica
Perú,USER_a968ce5a41,❤️,Contenido no interpretable
Perú,USER_a968ce5a41,❤️🤍❤️,Contenido no interpretable
